tcg_category_id,tcg_group_id,tcg_product_id,tcg_subtype,game,set,number,name,vars,rarity,value,value_updated,language,condition,psa_10,cgc_10,grade_9
3,24073,623498,reverse holofoil,Pokemon,SV09: Journey Together,71,Impidimp,reverse holofoil,Common,0.12,2026-03-28 00:01:14,en,,31.12,25.0,10.36
3,24073,623576,reverse holofoil,Pokemon,SV09: Journey Together,149,Iris's Fighting Spirit,reverse holofoil,Uncommon,0.2,2026-03-28 00:01:14,en,,32.28,26.0,14.5
3,24073,623540,reverse holofoil,Pokemon,SV09: Journey Together,113,Shelgon,reverse holofoil,Common,0.21,2026-03-28 00:01:14,en,,36.11,29.0,6.68
3,24073,623513,reverse holofoil,Pokemon,SV09: Journey Together,86,Hop's Silicobra,reverse holofoil,Common,0.14,2026-03-28 00:01:14,en,,30.72,25.0,10.23
3,24073,623531,reverse holofoil,Pokemon,SV09: Journey Together,104,N's Klang,reverse holofoil,Common,0.12,2026-03-28 00:01:14,en,,31.12,25.0,12.5
3,24073,623442,reverse holofoil,Pokemon,SV09: Journey Together,15,Virizion,reverse holofoil,Uncommon,0.3,2026-03-28 00:01:14,en,,31.57,25.0,10.5
3,24073,623491,reverse holofoil,Pokemon,SV09: Journey Together,64,N's Sigilyph,reverse holofoil,Common,0.16,2026-03-28 00:01:14,en,,31.66,25.0,10.53
3,24073,623546,reverse holofoil,Pokemon,SV09: Journey Together,119,Furret,reverse holofoil,Common,0.19,2026-03-28 00:01:14,en,,32.51,26.0,10.8
3,24073,623447,reverse holofoil,Pokemon,SV09: Journey Together,20,Magmar,reverse holofoil,Common,0.17,2026-03-28 00:01:14,en,,25.0,20.0,10.71
3,24073,623554,reverse holofoil,Pokemon,SV09: Journey Together,127,Noibat,reverse holofoil,Common,0.18,2026-03-28 00:01:14,en,,31.3,25.0,10.41
3,24073,623564,reverse holofoil,Pokemon,SV09: Journey Together,137,Cramorant,reverse holofoil,Common,0.16,2026-03-28 00:01:14,en,,30.9,25.0,10.28
3,24073,623485,reverse holofoil,Pokemon,SV09: Journey Together,58,Mr. Mime,reverse holofoil,Common,0.16,2026-03-28 00:01:14,en,,31.3,25.0,10.41
3,24073,623432,reverse holofoil,Pokemon,SV09: Journey Together,5,Parasect,reverse holofoil,Common,0.17,2026-03-28 00:01:14,en,,31.79,25.0,10.57
3,24073,623452,reverse holofoil,Pokemon,SV09: Journey Together,25,Torkoal,reverse holofoil,Common,0.16,2026-03-28 00:01:14,en,,31.79,25.0,10.57
3,24073,623575,reverse holofoil,Pokemon,SV09: Journey Together,148,Hop's Choice Band,reverse holofoil,Uncommon,0.15,2026-03-28 00:01:14,en,,30.76,25.0,10.24
3,24073,623505,reverse holofoil,Pokemon,SV09: Journey Together,78,Piloswine,reverse holofoil,Common,0.19,2026-03-28 00:01:14,en,,32.24,14.5,10.71
3,24073,623519,reverse holofoil,Pokemon,SV09: Journey Together,92,Weezing,reverse holofoil,Uncommon,0.38,2026-03-28 00:01:14,en,,31.79,25.0,10.57
3,24073,623435,reverse holofoil,Pokemon,SV09: Journey Together,8,Maractus,reverse holofoil,Uncommon,0.12,2026-03-28 00:01:14,en,,31.07,25.0,10.34
3,24541,675843,Holofoil,Pokemon,ME: Ascended Heroes,31,Mega Emboar ex,Holofoil,Double Rare,1.01,2026-03-28 00:01:14,en,,41.39,33.0,13.02
3,24541,675951,Holofoil,Pokemon,ME: Ascended Heroes,139,Mandibuzz ex,Holofoil,Double Rare,0.68,2026-03-28 00:01:14,en,,36.04,29.0,11.6
3,24541,675934,Holofoil,Pokemon,ME: Ascended Heroes,122,Okidogi,Holofoil,Rare,0.1,2026-03-28 00:01:14,en,,30.64,25.0,10.17
3,24541,675990,Holofoil,Pokemon,ME: Ascended Heroes,178,Terapagos,Holofoil,Rare,0.07,2026-03-28 00:01:14,en,,30.54,24.0,10.14
3,24541,675898,Holofoil,Pokemon,ME: Ascended Heroes,86,Mismagius,Holofoil,Rare,0.12,2026-03-28 00:01:14,en,,30.98,25.0,10.26
3,24541,675879,Holofoil,Pokemon,ME: Ascended Heroes,67,Tapu Koko,Holofoil,Rare,0.09,2026-03-28 00:01:14,en,,33.0,26.0,10.79
